Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.),Avg_Txn_Value_INR,MoM_Growth_Volume_%,MoM_Growth_Value_%
01-11-2023,516,11235.29,1739740.61,1548.460796,-1.520757241,1.39717405
01-12-2023,522,12020.23,1822949.42,1516.567836,6.986379524,4.782828516
01-01-2024,550,12203.02,1841083.97,1508.711753,1.520686376,0.994791726
01-02-2024,560,12102.67,1827869.35,1510.302561,-0.822337421,-0.717763025
01-03-2024,572,13440,1978353.23,1471.98901,11.04987577,8.232748145
01-04-2024,583,13303.99,1964464.52,1476.598013,-1.011979167,-0.702033883
01-05-2024,598,14035.84,2044937.05,1456.939556,5.500981285,4.096410456
01-06-2024,602,13885.14,2007081.2,1445.48863,-1.073679951,-1.851198794
01-07-2024,605,14435.55,2064292.41,1430.006068,3.964021969,2.850468133
01-08-2024,608,14963.05,2060735.57,1377.216256,3.654173204,-0.172303109
01-09-2024,622,15041.75,2063994.71,1372.177247,0.525962287,0.158154207
01-10-2024,632,16584.97,2349821.46,1416.837932,10.25957751,13.84823074
01-11-2024,637,15482.02,2155187.4,1392.058271,-6.650298433,-8.282929717
01-12-2024,641,16730.01,2324699.91,1389.538865,8.06089903,7.865325772
01-01-2025,647,16996,2348037.12,1381.52337,1.589897436,1.00388054
01-02-2025,653,16106.19,2196481.69,1363.750018,-5.235408331,-6.454558521
01-03-2025,661,18301.51,2477221.61,1353.561324,13.63028749,12.78134579
01-04-2025,668,17893.42,2394925.87,1338.439421,-2.22981601,-3.322098421
01-05-2025,673,18677.46,2514297.01,1346.166454,4.381722443,4.984335486
01-06-2025,675,18395.01,2403930.69,1306.83848,-1.512250595,-4.389549825
01-07-2025,684,19467.95,2508498.09,1288.527087,5.832777476,4.349850869
01-08-2025,688,20008.31,2485472.91,1242.220312,2.775638935,-0.917887085
